keys,zh,en
CHAR_CODY,"科迪","Cody"
CHAR_AQIANG,"阿强","A-Qiang"
CHAR_SQUAD_LEADER,"小队长","Squad Leader"
CHAR_ALIEN,"外星人","Alien"
CHAR_MILITARY,"军方","Military"
CHAR_MILITARY_CAPTAIN,"军方队长","Military Captain"
CHAR_COMMANDER,"长官","Commander"
CHAR_SHOOTER_1,"投篮好手1","Hoop Ace 1"
CHAR_BALLER_1,"篮球好手1","Hoop Ace 1"
CHAR_BOSS_XIE,"谢老板","Boss Xie"
CHAR_ENEMY,"敌人","Enemy"
CHAR_RESEARCHER,"军队研究人员","Military Researcher"
CHAR_QUEEN,"女王","Queen"
CHAR_KANGAROO,"袋鼠","Kangaroo"
CHAR_UNKNOWN,"？？？","???"
L1_INTRO_1,"哟！！！科迪！好球啊，还是这么准啊！","Yo!!! Cody! Nice shot, still got that aim!"
L1_INTRO_2,"嘿嘿","Hehe"
L1_INTRO_3,"如何？来比一场吧，看谁进的多？","How about it? Let's have a match, see who scores more?"
L1_INTRO_4,"来！","You're on!"
L1_END_1,"发生什么事了？！","What's happening?!"
L1_END_2,"看啊！天上那颗火球！","Look! That fireball in the sky!"
L1_END_3,"[shake]！！！[/shake] 那是我家的方向！不行，我得赶紧回去！","[shake]!!![/shake] That's the direction of my house! No, I have to get home right now!"
L1_END_4,"欸！等等科迪！","Hey! Wait, Cody!"
L1_END_5,"（希望能赶得上）","(I hope I make it in time)"
L2_INTRO_1,"都给我趴下！小的们！按计划，把这里的人抓起来一个一个筛查！","Everybody down! Alright boys, stick to the plan — round up everyone here and screen them one by one!"
L2_INTRO_2,"你们到底是什么？！","What on earth are you?!"
L2_INTRO_3,"你不需要知道因为你活不久了！","No need for you to know, since you won't live much longer!"
L2_INTRO_4,"[shake]！！！[/shake]","[shake]!!![/shake]"
L2_INTRO_5,"既然你这么迫不及待，那就从你先开始吧","Since you're so eager, let's start with you"
L2_INTRO_6,"你们要干什么？！","What are you going to do?!"
L2_INTRO_7,"嘿嘿嘿，我要你跟我比赛投篮，如果输给我的话，你的小命可不保了","Heh heh heh, you're going to face me in a shooting contest. Lose, and your life is forfeit"
L2_INTRO_8,"（它看起来不像是在开玩笑，看来只有拼一把了）","(It doesn't look like it's joking... I'll just have to go for it)"
L2_INTRO_9,"好吧，比就比","Fine, let's do this"
L2_END_1,"哼，很厉害嘛","Hmph, not bad at all"
L2_END_2,"你说好如果我赢了会放了我的","You promised to let me go if I won"
L2_END_3,"好吧好吧，我们篮球星人是最守信用的物种了，你可以走了，但是别让我再见到你","Fine, fine. We Basketballians are the most honorable species there is. You can go — but don't let me see you again"
L2_END_4,"（它看上去好像不会随便乱来，我应该借此机会问一些有用的信息）","(It doesn't seem like it'll go back on its word... I should use this chance to get some useful information)"
